,Steer_Angle,Acc_Body_X,Acc_Body_Y,Acc_Body_Z,Tire_Rate_FL,Tire_Rate_FR,Tire_Rate_RL,Tire_Rate_RR,Rate_Body_X,Rate_Body_Y,Rate_Body_Z,Engine_Torque,Gear_Transmission,Break_Pressure,RCS1,RCS2,Rain,Temp,INS_Vel_Hor_X_POI1,INS_Vel_Hor_Y_POI1,INS_Vel_Hor_Z_POI1,GNSS_Lat_Abs,GNSS_Long_Abs,GNSS_Height,INS_Height_POI1,INS_Lat_Abs_POI1,INS_Long_Abs_POI1,INS_Roll,INS_Pitch,INS_Yaw,GNSS_Vel_Frame_X,GNSS_Vel_Frame_Y,GNSS_Vel_Frame_Z,INS_Vel_Body_X,INS_Vel_Body_Y,INS_Vel_Body_Z
0 days 00:00:00,0.010023850433751218,-0.33746400000000004,1.0320120000000002,10.732140000000001,77.29594565682498,77.29594565682498,77.29594565682498,77.29594565682498,0.08482300164692441,-0.041189770347066175,0.05759586531581287,63.0,2.39,0.0,1,1,20.0,4,0.075,23.650000000000002,0.145,52.6497362,9.746668,34.68,33.69,52.649718099999994,9.746658199999999,-0.033335788713091695,-0.025132741228718343,4.187393941384796,-11.945,-20.445,-0.24,23.646173,0.05998092,0.4516226
0 days 00:00:00.010000,0.010023850433751218,-0.18835200000000002,1.3655520000000003,10.551636000000002,77.31600342319211,77.31600342319211,77.31600342319211,77.31600342319211,0.07749261878854824,-0.038571776469074684,0.0582939970166106,63.0,2.39,0.0,1,1,20.5,4,0.08,23.650000000000002,0.14,52.6497362,9.746668,34.68,33.69,52.649716299999994,9.7466565,-0.032637657012293965,-0.024783675378319478,4.187917540160393,-11.945,-20.445,-0.24,23.646206,0.065399766,0.44848987
0 days 00:00:00.020000,0.010023850433751218,-0.26290800000000003,1.2753,10.991124000000001,77.42966409927257,77.42966409927257,77.42966409927257,77.42966409927257,0.07347836150896127,-0.039269908169872414,0.05899212871740834,61.0,2.39,0.0,1,1,21.0,4,0.08,23.650000000000002,0.13,52.6497271,9.7466592,34.660000000000004,33.69,52.649714499999995,9.746654699999999,-0.0317649923862968,-0.024434609527920616,4.188441138935992,-11.865,-20.445,-0.215,23.646116,0.06573577,0.4501747
0 days 00:00:00.030000,0.010023850433751218,-0.41202000000000005,1.012392,11.159856,77.78401797175866,77.78401797175866,77.78401797175866,77.78401797175866,0.07452555906015788,-0.0439822971502571,0.05916666164260777,60.0,2.39,0.0,1,1,21.5,4,0.08,23.650000000000002,0.115,52.6497271,9.7466592,34.660000000000004,33.68,52.649712699999995,9.746653,-0.031066860685499065,-0.02408554367752175,4.18913927063679,-11.865,-20.445,-0.215,23.64591,0.06584063,0.456867
0 days 00:00:00.040000,0.010023850433751218,-0.20012400000000002,1.0830240000000002,9.786456000000001,77.81744758237055,77.81744758237055,77.81744758237055,77.81744758237055,0.06283185307179587,-0.05480333851262195,0.05969026041820607,58.0,2.39,0.0,1,1,22.0,4,0.08,23.650000000000002,0.12,52.6497271,9.7466592,34.660000000000004,33.68,52.6497108,9.7466513,-0.030368728984701335,-0.02356194490192345,4.189662869412388,-11.865,-20.445,-0.215,23.646261,0.066687286,0.4394493
0 days 00:00:00.050000,0.010023850433751218,0.23544,1.035936,10.806696000000002,77.95785194694052,77.95785194694052,77.95785194694052,77.95785194694052,0.06178465552059926,-0.031241393610698498,0.05794493116621175,58.0,2.39,0.0,1,1,22.5,4,0.08,23.655,0.11,52.6497271,9.7466592,34.660000000000004,33.68,52.649708999999994,9.7466495,-0.029845130209103034,-0.023212879051524585,4.190361001113185,-11.865,-20.445,-0.215,23.651182,0.06686189,0.4412728
0 days 00:00:00.060000,0.010023850433751218,-0.8554320000000001,1.1222640000000002,10.210248,77.38286264441591,77.38286264441591,77.38286264441591,77.38286264441591,0.06213372137099814,-0.054977871437821374,0.05759586531581287,58.0,2.39,0.0,1,1,23.0,4,0.08,23.650000000000002,0.105,52.6497271,9.7466592,34.660000000000004,33.68,52.6497071,9.7466478,-0.0291469985083053,-0.022689280275926284,4.1908845998887845,-11.865,-20.445,-0.215,23.646296,0.06738847,0.43373066
0 days 00:00:00.070000,0.010023850433751218,0.32569200000000004,1.404792,10.579104000000001,77.46309370988446,77.46309370988446,77.46309370988446,77.46309370988446,0.05707226654021458,-0.03682644721708035,0.05742133239061344,58.0,2.39,0.0,1,1,23.5,4,0.085,23.66,0.1,52.6497178,9.7466504,34.660000000000004,33.68,52.6497053,9.7466461,-0.028623399732707007,-0.02234021442552742,4.191582731589582,-11.795,-20.51,-0.105,23.65633,0.072700284,0.43080753
0 days 00:00:00.080000,0.010023850433751218,-0.317844,0.9221400000000001,11.140236000000002,77.06193838254171,77.06193838254171,77.06193838254171,77.06193838254171,0.05951572749300663,-0.032812189937493394,0.05759586531581287,58.0,2.39,0.0,1,1,24.0,4,0.08,23.655,0.085,52.6497178,9.7466504,34.660000000000004,33.68,52.6497035,9.7466444,-0.027925268031909273,-0.02199114857512855,4.1921063303651795,-11.795,-20.51,-0.105,23.65115,0.06781789,0.4372433
0 days 00:00:00.090000,0.010023850433751218,-0.7494840000000002,1.1732760000000002,10.406448000000001,77.54332477535301,77.54332477535301,77.54332477535301,77.54332477535301,0.060388392119003806,-0.054977871437821374,0.05811946409141117,58.0,2.39,0.0,1,1,24.5,4,0.08,23.650000000000002,0.08,52.6497178,9.7466504,34.660000000000004,33.68,52.6497016,9.746642699999999,-0.027227136331111543,-0.021467549799530253,4.192629929140779,-11.795,-20.51,-0.105,23.646267,0.0683271,0.42970642
