,Steer_Angle,Acc_Body_X,Acc_Body_Y,Acc_Body_Z,Tire_Rate_FL,Tire_Rate_FR,Tire_Rate_RL,Tire_Rate_RR,Rate_Body_X,Rate_Body_Y,Rate_Body_Z,Engine_Torque,Gear_Transmission,Break_Pressure,RCS1,RCS2,Rain,Temp,INS_Vel_Hor_X_POI1,INS_Vel_Hor_Y_POI1,INS_Vel_Hor_Z_POI1,GNSS_Lat_Abs,GNSS_Long_Abs,GNSS_Height,INS_Height_POI1,INS_Lat_Abs_POI1,INS_Long_Abs_POI1,INS_Roll,INS_Pitch,INS_Yaw,GNSS_Vel_Frame_X,GNSS_Vel_Frame_Y,GNSS_Vel_Frame_Z,INS_Vel_Body_X,INS_Vel_Body_Y,INS_Vel_Body_Z
0 days 00:00:00,0.0007075659129706742,-0.8083440000000001,-0.125568,8.519004,77.02850877192982,77.02850877192982,77.02850877192982,77.02850877192982,-0.0013962634015954637,-0.0027925268031909274,0.00034906585039886593,66.0,2.39,0.0,1,1,0.0,4,0.05,23.545,0.09,52.6493392,9.7465231,31.85,32.04,52.6493275,9.746511199999999,-0.00890117918517108,-0.021642082724729686,4.24132461527142,-10.67,-21.045,-0.01,23.541433,0.04626363,0.4199726
0 days 00:00:00.010000,0.0007075659129706742,0.580752,0.0981,9.068364,77.17894201968333,77.17894201968333,77.17894201968333,77.17894201968333,-0.0019198621771937623,0.016929693744344998,0.0,66.0,2.39,0.0,1,1,0.0,4,0.05,23.54,0.105,52.6493392,9.7465231,31.85,32.04,52.6493256,9.7465096,-0.00890117918517108,-0.021467549799530253,4.24132461527142,-10.67,-21.045,-0.01,23.53683,0.046434645,0.4007607
0 days 00:00:00.020000,0.000825493565132453,-0.506196,-0.07063200000000001,9.65304,77.32937526743689,77.32937526743689,77.32937526743689,77.32937526743689,-0.0017453292519943296,0.011693705988362009,0.0005235987755982988,66.0,2.39,0.0,1,1,0.0,4,0.05,23.56,0.11,52.649329599999994,9.7465151,31.87,32.03,52.6493237,9.7465081,-0.00890117918517108,-0.02181661564992912,4.24132461527142,-10.69,-21.075,-0.04,23.556791,0.046402123,0.4044139
0 days 00:00:00.030000,0.0009434212172942321,-0.8240400000000001,-0.08632800000000002,8.793684,77.40960633290543,77.40960633290543,77.40960633290543,77.40960633290543,-0.0022689280275926286,-0.024609142453120045,0.0012217304763960308,66.0,2.39,0.0,1,1,0.0,4,0.05,23.555,0.11,52.649329599999994,9.7465151,31.87,32.03,52.649321799999996,9.746506499999999,-0.00890117918517108,-0.02199114857512855,4.24132461527142,-10.69,-21.075,-0.04,23.551723,0.046366505,0.40841523
0 days 00:00:00.040000,0.0010613488694560112,0.5415120000000001,0.129492,9.244944,77.54332477535301,77.54332477535301,77.54332477535301,77.54332477535301,-0.0010471975511965976,0.0013962634015954637,0.0012217304763960308,66.0,2.39,0.0,1,1,0.0,4,0.05,23.55,0.12,52.649329599999994,9.7465151,31.87,32.03,52.649319899999995,9.7465049,-0.009075712110370514,-0.021642082724729686,4.24132461527142,-10.69,-21.075,-0.04,23.547081,0.046461556,0.39009705
0 days 00:00:00.050000,0.0010613488694560112,-0.47480400000000006,-0.21582000000000004,9.65304,77.32937526743689,77.32937526743689,77.32937526743689,77.32937526743689,0.0024434609527920616,-0.0006981317007977319,0.0005235987755982988,66.0,2.39,0.0,1,1,0.0,4,0.05,23.56,0.13,52.649329599999994,9.7465151,31.87,32.02,52.649318,9.7465034,-0.009075712110370514,-0.02181661564992912,4.24132461527142,-10.69,-21.075,-0.04,23.557228,0.04651301,0.3844276
0 days 00:00:00.060000,0.0011792765216177901,-0.6003720000000001,0.015696,9.080136000000001,77.21571459135643,77.21571459135643,77.21571459135643,77.21571459135643,0.005759586531581288,-0.023038346126325153,0.0012217304763960308,66.0,2.39,0.0,1,1,0.0,4,0.05,23.555,0.13,52.649329599999994,9.7465151,31.87,32.02,52.6493161,9.746501799999999,-0.00890117918517108,-0.02181661564992912,4.24132461527142,-10.69,-21.075,-0.04,23.55223,0.046581075,0.3843104
0 days 00:00:00.070000,0.0012972041737795694,0.533664,0.07063200000000001,9.778608,77.1622272143774,77.1622272143774,77.1622272143774,77.1622272143774,0.007155849933176751,0.006283185307179587,0.0006981317007977319,66.0,2.39,0.0,1,1,0.0,4,0.055,23.555,0.14,52.6493202,9.7465073,31.87,32.01,52.6493142,9.7465003,-0.00890117918517108,-0.021467549799530253,4.24132461527142,-10.635,-21.03,-0.18,23.552578,0.05174304,0.3661366
0 days 00:00:00.080000,0.0014151318259413483,-0.812268,-0.15696000000000002,9.723672,77.14216944801026,77.14216944801026,77.14216944801026,77.14216944801026,0.01117010721276371,-0.011519173063162576,0.0015707963267948967,66.0,2.39,0.0,1,1,0.0,4,0.055,23.56,0.14,52.6493202,9.7465073,31.87,32.01,52.6493123,9.7464987,-0.00890117918517108,-0.021642082724729686,4.24149914819662,-10.635,-21.03,-0.18,23.55751,0.05170549,0.3703553
0 days 00:00:00.090000,0.0015330594781031272,-0.40809600000000007,0.04316400000000001,9.421524000000002,77.26251604621308,77.26251604621308,77.26251604621308,77.26251604621308,0.016057029118347832,-0.028274333882308142,0.0024434609527920616,66.0,2.39,0.0,1,1,0.0,4,0.055,23.555,0.14,52.6493202,9.7465073,31.87,32.01,52.6493104,9.7464971,-0.008726646259971648,-0.021467549799530253,4.24149914819662,-10.635,-21.03,-0.18,23.552578,0.051806945,0.36612758
0 days 00:00:00.100000,0.001650987130264906,0.3924,0.011772000000000001,10.108224,77.38286264441591,77.38286264441591,77.38286264441591,77.38286264441591,0.018675022996339326,-0.008203047484373348,0.0036651914291880917,66.0,2.39,0.0,1,1,0.0,4,0.055,23.55,0.145,52.6493202,9.7465073,31.87,32.01,52.6493085,9.7464956,-0.008552113334772215,-0.02111848394913139,4.24149914819662,-10.635,-21.03,-0.18,23.54781,0.05198481,0.3527931
0 days 00:00:00.110000,0.0017689147824266852,-0.6513840000000001,-0.17658000000000004,10.076832000000001,77.42297817715018,77.42297817715018,77.42297817715018,77.42297817715018,0.01815142422074103,-0.024434609527920613,0.004537856055185257,66.0,2.39,0.0,1,1,0.0,4,0.055,23.56,0.14,52.6493202,9.7465073,31.87,32.01,52.6493067,9.746494,-0.008377580409572781,-0.02111848394913139,4.24149914819662,-10.635,-21.03,-0.18,23.557703,0.05200274,0.35799393
0 days 00:00:00.120000,0.0017689147824266852,-0.349236,0.031392,9.656964,77.46309370988446,77.46309370988446,77.46309370988446,77.46309370988446,0.016406094968746697,-0.03577924966588375,0.005759586531581288,66.0,2.39,0.0,1,1,0.0,4,0.06,23.55,0.14,52.6493107,9.7464991,31.92,32.0,52.649304699999995,9.746492499999999,-0.008377580409572781,-0.02076941809873252,4.24149914819662,-10.59,-20.995,-0.29,23.547827,0.05707319,0.34960517
0 days 00:00:00.130000,0.0017689147824266852,0.145188,-0.019620000000000002,10.167084000000001,77.39623448866067,77.39623448866067,77.39623448866067,77.39623448866067,0.013962634015954637,-0.016231562043547268,0.005759586531581288,66.0,2.39,0.0,1,1,0.0,4,0.06,23.55,0.145,52.6493107,9.7464991,31.92,32.0,52.649302899999995,9.7464909,-0.00820304748437335,-0.020420352248333655,4.24149914819662,-10.59,-20.995,-0.29,23.54805,0.05724264,0.33637694
0 days 00:00:00.140000,0.0018868424345884643,-0.6827760000000002,0.023544000000000002,10.037592000000002,77.32937526743689,77.32937526743689,77.32937526743689,77.32937526743689,0.01658062789394613,-0.032114058236695664,0.006981317007977318,66.0,2.39,0.0,1,1,0.0,4,0.06,23.55,0.14,52.6493107,9.7464991,31.92,32.0,52.649300999999994,9.7464893,-0.008028514559173916,-0.020245819323134222,4.241673681121819,-10.59,-20.995,-0.29,23.548008,0.05729421,0.33725598
0 days 00:00:00.150000,0.0018868424345884643,-0.031392,-0.09417600000000001,9.73152,77.21571459135643,77.21571459135643,77.21571459135643,77.21571459135643,0.02181661564992912,-0.029321531433504733,0.008377580409572781,66.0,2.39,0.0,1,1,0.0,4,0.06,23.545,0.14,52.6493107,9.7464991,31.92,32.0,52.6492991,9.746487799999999,-0.007853981633974483,-0.019896753472735357,4.241673681121819,-10.59,-20.995,-0.29,23.543123,0.057418413,0.32892695
0 days 00:00:00.160000,0.0018868424345884643,0.13734000000000002,-0.145188,10.433916000000002,77.14885537013264,77.14885537013264,77.14885537013264,77.14885537013264,0.028623399732707003,-0.01117010721276371,0.008203047484373348,66.0,2.39,0.0,1,1,0.0,4,0.055,23.55,0.14,52.6493107,9.7464991,31.92,31.990000000000002,52.6492972,9.7464862,-0.00767944870877505,-0.019722220547535925,4.241848214047018,-10.59,-20.995,-0.29,23.548182,0.052506763,0.32486823
0 days 00:00:00.170000,0.0018868424345884643,-0.5846760000000001,-0.13734000000000002,10.755684,77.23242939666238,77.23242939666238,77.23242939666238,77.23242939666238,0.031241393610698498,-0.023736477827122886,0.00942477796076938,66.0,2.39,0.0,1,1,0.0,4,0.055,23.55,0.135,52.6493012,9.746490999999999,31.92,31.990000000000002,52.6492953,9.7464847,-0.007330382858376184,-0.019547687622336492,4.241848214047018,-10.625,-20.985,-0.23,23.548138,0.052613642,0.32573897
0 days 00:00:00.180000,0.0018868424345884643,-0.380628,-0.17265600000000003,10.520244,77.31600342319211,77.31600342319211,77.31600342319211,77.31600342319211,0.02809980095710871,-0.030717794835100197,0.01064650843716541,66.0,2.39,0.0,1,1,0.0,4,0.055,23.55,0.125,52.6493012,9.746490999999999,31.92,31.990000000000002,52.6492934,9.746483099999999,-0.006981317007977318,-0.01937315469713706,4.242022746972218,-10.625,-20.985,-0.23,23.548002,0.052686237,0.33160853
0 days 00:00:00.190000,0.0018868424345884643,0.047088000000000005,-0.10202400000000002,10.963656000000002,77.40960633290543,77.40960633290543,77.40960633290543,77.40960633290543,0.023387411976724018,-0.021118483949131385,0.010471975511965976,66.0,2.39,0.0,1,1,0.0,4,0.05,23.545,0.12,52.6493012,9.746490999999999,31.92,31.98,52.6492915,9.7464816,-0.006806784082777886,-0.019024088846738195,4.242022746972218,-10.625,-20.985,-0.23,23.543022,0.047766797,0.3282496
0 days 00:00:00.200000,0.0018868424345884643,-0.557208,0.1962,10.826316000000002,77.46309370988446,77.46309370988446,77.46309370988446,77.46309370988446,0.01884955592153876,-0.030717794835100197,0.012391837689159739,66.0,2.39,0.0,1,1,0.0,4,0.045,23.55,0.105,52.6493012,9.746490999999999,31.92,31.98,52.649289599999996,9.74648,-0.006457718232379019,-0.01884955592153876,4.242197279897417,-10.625,-20.985,-0.23,23.547796,0.042810563,0.33918294
0 days 00:00:00.210000,0.0018868424345884643,0.019620000000000002,-0.133416,10.441764000000001,77.33940415062045,77.33940415062045,77.33940415062045,77.33940415062045,0.015533430342749534,-0.030019663134302467,0.012391837689159739,66.0,2.39,0.0,1,1,0.0,4,0.045,23.545,0.095,52.6493012,9.746490999999999,31.92,31.98,52.649287699999995,9.746478399999999,-0.006283185307179586,-0.018500490071139894,4.242371812822617,-10.625,-20.985,-0.23,23.542728,0.042859167,0.34086144
0 days 00:00:00.220000,0.0018868424345884643,0.10987200000000001,0.13734000000000002,10.618344,77.21571459135643,77.21571459135643,77.21571459135643,77.21571459135643,0.010297442586766544,-0.011693705988362009,0.012217304763960306,66.0,2.39,0.0,1,1,0.0,4,0.04,23.54,0.095,52.6492918,9.746483099999999,31.91,31.970000000000002,52.649285799999994,9.7464769,-0.006108652381980154,-0.01815142422074103,4.242371812822617,-10.64,-20.945,-0.17,23.537848,0.0379695,0.3325149
0 days 00:00:00.230000,0.0018868424345884643,-0.7102440000000001,0.192276,10.626192000000001,77.16222721437741,77.16222721437741,77.16222721437741,77.16222721437741,0.006108652381980153,-0.02076941809873252,0.012391837689159739,66.0,2.39,0.0,1,1,0.0,4,0.04,23.545,0.085,52.6492918,9.746483099999999,31.91,31.970000000000002,52.6492839,9.7464753,-0.006108652381980154,-0.017976891295541596,4.242546345747817,-10.64,-20.945,-0.17,23.542723,0.037932973,0.33849487
